relative_path,num_steps,safety_trigger_count,safety_trigger_ratio,bound_violation_count,norm_violation_count,jump_violation_count,workspace_violation_count,abnormal_sequence_count,rejected_action_count,raw_motion_norm_mean,raw_motion_norm_max,safe_motion_norm_mean,safe_motion_norm_max,raw_action_jump_mean,raw_action_jump_max,safe_action_jump_mean,safe_action_jump_max
task1_ep16/actions.npy,104,72,0.6923076923076923,72,0,0,0,32,0,0.8002303242683411,1.22969651222229,0.8002303242683411,1.22969651222229,0.0875512957572937,0.2519505023956299,0.0875512957572937,0.2519505023956299
task1_ep17/actions.npy,101,67,0.6633663366336634,67,0,0,0,25,0,0.8154628276824951,1.2066864967346191,0.8154628276824951,1.2066864967346191,0.10819060355424881,0.31096145510673523,0.10819060355424881,0.31096145510673523
task1_ep18/actions.npy,104,74,0.7115384615384616,74,0,0,0,47,0,0.8097577691078186,1.1664751768112183,0.8097577691078186,1.1664751768112183,0.09155745804309845,0.31439170241355896,0.09155745804309845,0.31439170241355896
task1_ep19/actions.npy,109,81,0.7431192660550459,80,0,1,0,50,0,0.8174992203712463,1.178956389427185,0.8173555135726929,1.178956389427185,0.08977356553077698,0.5321005582809448,0.08976521342992783,0.5
task1_ep2/actions.npy,111,71,0.6396396396396397,71,0,0,0,30,0,0.7753381729125977,1.1267497539520264,0.7753381729125977,1.1267497539520264,0.08747377246618271,0.24868598580360413,0.08747377246618271,0.24868598580360413
task1_ep20/actions.npy,107,81,0.7570093457943925,81,0,0,0,38,0,0.8396158814430237,1.2121855020523071,0.8396158814430237,1.2121855020523071,0.0943804532289505,0.34138378500938416,0.0943804532289505,0.34138378500938416
task1_ep21/actions.npy,101,83,0.8217821782178217,83,0,0,0,59,0,0.8361451029777527,1.2454392910003662,0.8361451029777527,1.2454392910003662,0.09875858575105667,0.3479096293449402,0.09875858575105667,0.3479096293449402
task1_ep22/actions.npy,107,64,0.5981308411214953,64,0,0,0,27,0,0.7990074753761292,1.2099156379699707,0.7990074753761292,1.2099156379699707,0.08981059491634369,0.47855275869369507,0.08981059491634369,0.47855275869369507
task1_ep23/actions.npy,110,57,0.5181818181818182,57,0,0,0,26,0,0.8348321318626404,1.2301656007766724,0.8348321318626404,1.2301656007766724,0.0863601341843605,0.27832287549972534,0.0863601341843605,0.27832287549972534
task1_ep24/actions.npy,111,72,0.6486486486486487,72,0,0,0,23,0,0.8007205724716187,1.250993013381958,0.8007205724716187,1.250993013381958,0.08956167846918106,0.2732378840446472,0.08956167846918106,0.2732378840446472
task1_ep25/actions.npy,105,66,0.6285714285714286,66,0,0,0,31,0,0.7978741526603699,1.174350619316101,0.7978741526603699,1.174350619316101,0.0919724777340889,0.39103761315345764,0.0919724777340889,0.39103761315345764
task1_ep26/actions.npy,104,68,0.6538461538461539,68,0,0,0,33,0,0.8090343475341797,1.1968464851379395,0.8090343475341797,1.1968464851379395,0.09554949402809143,0.3432897627353668,0.09554949402809143,0.3432897627353668
task1_ep27/actions.npy,104,65,0.625,65,0,0,0,25,0,0.8042868375778198,1.2535314559936523,0.8042868375778198,1.2535314559936523,0.08878576755523682,0.378060907125473,0.08878576755523682,0.378060907125473
task1_ep28/actions.npy,105,69,0.6571428571428571,69,0,1,0,38,0,0.8152587413787842,1.246482014656067,0.8150771856307983,1.246482014656067,0.08925993740558624,0.5286577939987183,0.08925643563270569,0.5
task1_ep29/actions.npy,110,73,0.6636363636363637,73,0,0,0,31,0,0.7945322394371033,1.239898920059204,0.7945322394371033,1.239898920059204,0.08637633919715881,0.42151352763175964,0.08637633919715881,0.42151352763175964
task1_ep3/actions.npy,102,70,0.6862745098039216,70,0,0,0,36,0,0.8251956701278687,1.2033764123916626,0.8251956701278687,1.2033764123916626,0.08231280744075775,0.2857857942581177,0.08231280744075775,0.2857857942581177
task1_ep30/actions.npy,107,71,0.6635514018691588,71,0,0,0,35,0,0.8254468441009521,1.1883888244628906,0.8254468441009521,1.1883888244628906,0.09074085205793381,0.4252379238605499,0.09074085205793381,0.4252379238605499
task1_ep31/actions.npy,99,64,0.6464646464646465,64,0,0,0,31,0,0.7933046221733093,1.1968666315078735,0.7933046221733093,1.1968666315078735,0.0982515886425972,0.34656861424446106,0.0982515886425972,0.34656861424446106
task1_ep32/actions.npy,108,70,0.6481481481481481,70,0,0,0,30,0,0.8051126003265381,1.1966423988342285,0.8051126003265381,1.1966423988342285,0.08887028694152832,0.24709363281726837,0.08887028694152832,0.24709363281726837
